name_muni;abbrev_state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Bannach;PA;419;481;413;451;449;522;658;567;751;1076;1109;1085;1316;1811;1995;2003;1858
Barcarena;PA;193910;183586;206588;230121;271351;393722;444601;493245;540699;567547;593977;590891;797264;956512;1058714;1092527;1104445
Belém;PA;1207484;1365918;1483333;1791295;2106065;2155449;2467278;2491433;2847736;3219630;3904174;4339510;4311635;4373063;4475927;4627874;4727541
Belterra;PA;590;840;872;1141;1260;1397;1663;1681;1088;2243;2279;3456;3526;4400;4934;5014;5638
Benevides;PA;25899;28020;28105;32739;47908;90164;107685;97099;114825;136581;162812;202275;216157;228169;249789;267174;318278
Bom Jesus do Tocantins;PA;1044;1190;1369;1268;1385;1687;1814;2954;2967;3505;3606;4218;4899;4917;5756;10244;7292
Bonito;PA;353;439;470;545;554;773;1650;2520;1122;1307;2073;4219;8373;6523;11938;14804;19751
Bragança;PA;8851;13887;14784;15522;18733;20643;22574;25743;29443;33690;38225;42624;47878;57146;63018;67078;74400
Brasil Novo;PA;1129;1997;2260;1860;2298;2913;3306;3693;4567;7018;8967;8414;10168;13193;14475;14445;13737
Brejo Grande do Araguaia;PA;463;807;808;819;710;729;716;1117;1410;1455;1680;1927;2716;2848;3302;3256;3456
Breu Branco;PA;5158;5026;5480;7169;8729;9243;10121;9911;12007;14226;23491;16865;21032;37016;38203;42744;47858
Breves;PA;10038;11639;14055;14215;14226;16043;15734;18851;20550;24220;31134;29304;33229;34977;37850;39255;39627
Bujaru;PA;1552;1747;1501;1969;2022;2296;2377;2489;3684;3879;5492;5593;6043;8096;8873;8616;7328
Cachoeira do Piriá;PA;548;664;631;720;731;1018;1101;1520;1690;1863;1853;2658;3233;3879;4716;5228;4877
Cachoeira do Arari;PA;589;650;592;665;768;669;800;1049;1265;1266;1354;1671;1866;2652;2834;3559;4230
Cametá;PA;5519;6402;5604;7922;9392;9370;10474;11566;14047;16732;17212;22620;29353;36206;38253;38613;41692
Canaã dos Carajás;PA;14611;43580;52219;31283;50792;85423;70834;55097;71559;78782;124173;155290;225241;229115;340719;192585;191942
Capanema;PA;24834;25275;25857;31171;38218;40422;48471;59803;76731;87649;94765;112144;121379;126646;129153;127784;128823
Capitão Poço;PA;2824;3903;3475;4077;5203;6821;7431;8431;9477;10397;10493;13518;16295;19343;19895;20641;22691
Castanhal;PA;58905;74102;82504;95187;113332;127206;155653;175015;214329;256153;302105;321544;376179;458258;512804;552951;572919
Chaves;PA;501;512;489;684;759;1049;1340;1568;1681;1897;2047;2665;2733;3570;3400;2963;2966
Colares;PA;357;439;426;492;787;821;862;1167;1271;1177;1396;1043;1103;1575;1843;1939;1858
Conceição do Araguaia;PA;5998;9589;8318;8845;10669;12790;15701;17480;23163;29609;30494;30724;37612;43705;45429;44301;42423
Concórdia do Pará;PA;1217;1688;1701;2200;2814;3249;3432;4249;5244;7050;9324;10001;11731;14213;13451;12240;13588
Cumaru do Norte;PA;736;886;760;1018;991;1560;1199;1442;1330;1732;1777;2706;3627;4316;5113;5101;5151
Curionópolis;PA;2568;2807;2751;3265;4116;4788;4952;5577;7312;11626;21153;19940;14373;17740;20823;26821;31783
Curralinho;PA;562;725;694;718;942;1028;1205;1251;1679;2020;1904;3036;3706;7365;8924;8351;7145
Curuá;PA;399;459;454;565;651;623;757;839;1281;1228;1306;1557;1981;2472;2812;2938;2978
Curuçá;PA;832;1142;1274;1522;1992;2012;2687;2630;3516;3725;4009;5768;5902;7180;7723;7858;8661
Dom Eliseu;PA;7104;11059;13134;14644;15767;15129;17028;18080;20562;25823;25268;30921;30805;41505;47237;53452;58108
Eldorado do Carajás;PA;2219;3268;4036;5211;6537;8369;10129;15117;16864;19128;18936;20959;21314;18644;23382;24242;31016
Faro;PA;307;409;382;581;530;470;461;556;631;681;751;1206;857;1205;1277;1228;1410
Floresta do Araguaia;PA;1635;2265;2621;2211;2134;4242;6306;8574;9319;10882;12673;12604;12565;13968;11306;9802;11058
Garrafão do Norte;PA;817;1001;1088;1138;1187;1293;1418;1913;2172;2535;3035;4382;5142;5495;6078;6257;6478
Goianésia do Pará;PA;4244;5351;5567;8370;8514;10235;9491;9598;10933;11657;17529;19856;20272;20936;22652;20968;20763
Gurupá;PA;873;1106;1181;1352;1710;2047;2138;2672;2824;3084;3472;3761;4849;5663;5310;5901;7571
Igarapé-Açu;PA;2286;3545;3898;4178;4030;3774;4556;5358;5918;14948;12961;16841;17971;15544;19105;17364;19669
Igarapé-Miri;PA;2814;3997;4014;5350;5603;5933;6666;6855;7561;9085;10503;12518;15647;15142;15490;15787;19474
Inhangapi;PA;548;1039;1250;990;1176;1150;1193;1309;1330;1711;1899;2339;2542;4086;4612;4553;5884
Ipixuna do Pará;PA;3614;5468;6546;5663;5932;7209;9302;8898;10724;12027;14344;14029;15177;17141;20249;20017;20823
Irituia;PA;1114;2685;2635;2837;3018;2709;2978;3619;3850;4171;4435;5818;6834;8245;9142;8761;8466
Itaituba;PA;19587;33810;37250;36739;42662;47663;50169;54180;61160;68565;86583;117850;129667;161836;163037;173548;186282
Itupiranga;PA;2760;4104;5433;4585;4704;5415;5824;6431;7457;8550;10001;10426;15760;17836;18832;18124;18648
Jacareacanga;PA;780;1071;1009;983;1031;1146;1237;1947;1979;4687;18063;18079;20469;28129;25945;47284;14854
